PLRG1 SYF2 
PLRG1 SNRPA1 
PLRG1 SNW1 
PLRG1 HNRNPM 
PLRG1 XAB2 
PLRG1 BCAS2 
PLRG1 CDC5L 
PLRG1 CRNKL1 
PLRG1 PRPF8 
PLRG1 CWC15 
XAB2 RBM22 
XAB2 SYF2 
XAB2 SNRPA1 
XAB2 SNW1 
XAB2 DHX8 
XAB2 SF3B3 
XAB2 SNRNP200 
XAB2 CWC22 
XAB2 CDC5L 
XAB2 BCAS2 
XAB2 CDC40 
XAB2 CRNKL1 
CRNKL1 RBM22 
CRNKL1 SYF2 
CRNKL1 SNW1 
CRNKL1 DHX8 
CRNKL1 SNRNP40 
CRNKL1 SNRNP200 
CRNKL1 CDC40 
CRNKL1 CDC5L 
CRNKL1 PRPF8 
DERL2 VCP 
VCP DERL1 
VCP FAF2 
VCP UFD1L 
VCP NPLOC4 
VCP NSFL1C 
VCP SYVN1 
TNFRSF1A TNF 
TNF TRAF2 
TNF RIPK1 
TNF TRADD 
TNF TAB2 
TNF MAP3K7 
TNF TNFRSF1B 
TNF IKBKG 
TNF IKBKB 
MAD2L1 NDC80 
MAD2L1 CCNA2 
MAD2L1 BUB1B 
MAD2L1 CDK1 
MAD2L1 CDC16 
MAD2L1 CDC20 
MAD2L1 NEK2 
MAD2L1 CDC23 
MAD2L1 ANAPC1 
MAD2L1 MAD1L1 
MAD2L1 BUB3 
MAD2L1 ANAPC4 
MAD2L1 BUB1 
MAD2L1 ANAPC7 
MAD2L1 CDC27 
KEAP1 CUL3 
CUL3 KLHL3 
CUL3 SPOP 
CCNK CDK12 
NDUFB4 NDUFA7 
NDUFB4 NDUFS5 
NDUFB4 NDUFA10 
NDUFB4 NDUFS3 
NDUFB4 NDUFA12 
NDUFB4 NDUFB6 
NDUFB4 NDUFC1 
NDUFB4 NDUFS4 
NDUFB4 NDUFA9 
NDUFB4 NDUFB2 
NDUFB4 NDUFB1 
NDUFB4 NDUFA6 
NDUFB4 NDUFS6 
NDUFB4 NDUFV1 
NDUFB4 NDUFB3 
NDUFA7 NDUFB7 
NDUFA7 NDUFS7 
NDUFA7 NDUFA2 
NDUFA7 NDUFA10 
NDUFA7 NDUFS3 
NDUFA7 NDUFA9 
NDUFA7 NDUFB10 
NDUFA7 NDUFS6 
NDUFA7 NDUFB11 
NDUFA7 NDUFB9 
NDUFA7 NDUFS4 
NDUFA7 NDUFB8 
NDUFA7 NDUFS5 
NDUFA7 NDUFA12 
NDUFA7 NDUFA8 
NDUFA7 NDUFA13 
NDUFA7 NDUFA3 
NDUFA7 NDUFS8 
NDUFA7 NDUFB6 
NDUFA7 NDUFA6 
NDUFA7 NDUFAB1 
NDUFS5 NDUFB7 
NDUFS5 NDUFS7 
NDUFS5 NDUFB3 
NDUFS5 NDUFA2 
NDUFS5 NDUFB5 
NDUFS5 NDUFS3 
NDUFS5 NDUFA9 
NDUFS5 NDUFB10 
NDUFS5 NDUFS6 
NDUFS5 NDUFB9 
NDUFS5 NDUFC2 
NDUFS5 NDUFS4 
NDUFS5 NDUFB8 
NDUFS5 NDUFS8 
NDUFS5 NDUFV1 
NDUFS5 NDUFV2 
NDUFS5 NDUFA12 
NDUFS5 MT-ND1 
NDUFS5 MT-ND4 
NDUFS5 NDUFS2 
NDUFS5 NDUFA1 
NDUFS5 NDUFA13 
NDUFS5 NDUFA5 
NDUFS5 NDUFA8 
NDUFS5 NDUFA3 
NDUFS5 NDUFB6 
NDUFS5 NDUFS1 
NDUFS5 NDUFC1 
NDUFS5 NDUFB2 
NDUFS5 NDUFA6 
NDUFS5 NDUFAB1 
NDUFS5 NDUFA11 
NDUFA10 NDUFB7 
NDUFA10 NDUFA2 
NDUFA10 NDUFS2 
NDUFA10 NDUFS3 
NDUFA10 NDUFV2 
NDUFA10 NDUFB9 
NDUFA10 NDUFA9 
NDUFA10 NDUFB5 
NDUFA10 NDUFB10 
NDUFA10 NDUFA8 
NDUFA10 NDUFS1 
NDUFA10 NDUFB8 
NDUFA10 NDUFA6 
NDUFA10 NDUFV1 
NDUFS3 NDUFB7 
NDUFS3 NDUFS7 
NDUFS3 NDUFB3 
NDUFS3 NDUFA2 
NDUFS3 NDUFB5 
NDUFS3 MT-ND1 
NDUFS3 NDUFS2 
NDUFS3 NDUFA13 
NDUFS3 NDUFV2 
NDUFS3 NDUFB9 
NDUFS3 NDUFS4 
NDUFS3 NDUFA9 
NDUFS3 NDUFV3 
NDUFS3 NDUFB10 
NDUFS3 NDUFS6 
NDUFS3 NDUFA5 
NDUFS3 NDUFA12 
NDUFS3 NDUFA8 
NDUFS3 MT-ND4 
NDUFS3 NDUFS8 
NDUFS3 MT-ND2 
NDUFS3 NDUFB6 
NDUFS3 NDUFS1 
NDUFS3 MT-ND5 
NDUFS3 NDUFB8 
NDUFS3 NDUFB11 
NDUFS3 NDUFA6 
