CYP51A1 LSS
NUP155 NUP205
RARS EPRS
RARS QARS
RARS AIMP1
RARS KARS
RARS MARS
MLH1 MSH2
MLH1 BLM
MLH1 MSH6
MLH1 MSH3
HES1 FANCF
HES1 FANCC
HES1 FANCL
HES1 FANCA
HES1 FANCG
NPRL2 WDR24
NPRL2 DEPDC5
NPRL2 SEH1L
NPRL2 NPRL3
NPRL2 WDR59
NPRL2 MIOS
GNB4 GNG5
GNB4 GNG11
GNB4 GNG7
GNB4 GNG12
GNB4 GNGT2
GNB4 GNGT1
GNB4 GNG8
GNB4 PDCL
GNB4 GNG13
GNB4 GNG4
GNB4 GNG2
GNB4 GNG10
GNB4 GNG3
RRP9 TBL3
RRP9 IMP3
RRP9 UTP6
RRP9 WDR36
RRP9 DCAF13
RRP9 CIRH1A
RRP9 IMP4
RRP9 WDR75
RRP9 WDR3
RRP9 PDCD11
RRP9 MPHOSPH10
RRP9 NOP56
RRP9 PWP2
RRP9 HEATR1
RRP9 NOP58
RRP9 NOL6
RRP9 NOP14
RRP9 BMS1
RRP9 NOC4L
TNNC1 TNNI3
TNNC1 TNNI2
MSH2 PMS2
MSH2 EXO1
MSH2 MSH6
MSH2 MSH3
NCK2 LIMS1
APOB APOA1
SF3B6 SF3B5
SF3B6 SF3B1
NDUFS7 MT-ND1
NDUFS7 NDUFS5
NDUFS7 NDUFS2
NDUFS7 NDUFS3
NDUFS7 NDUFA13
NDUFS7 NDUFV2
NDUFS7 NDUFB9
NDUFS7 NDUFS4
NDUFS7 NDUFA9
NDUFS7 NDUFA2
NDUFS7 NDUFB5
NDUFS7 NDUFB10
NDUFS7 NDUFS6
NDUFS7 NDUFA7
NDUFS7 NDUFA5
NDUFS7 NDUFA12
NDUFS7 NDUFA8
NDUFS7 MT-ND4
NDUFS7 NDUFS8
NDUFS7 NDUFB6
NDUFS7 NDUFS1
NDUFS7 NDUFB8
NDUFS7 NDUFA6
NDUFS7 NDUFAB1
NDUFS7 MT-ND3
NDUFS7 NDUFV1
NDUFS7 NDUFA11
IGFBP5 IGF1
HSPE1 HSPD1
IL1RL1 IL33
ODC1 OAZ1
GORASP2 BLZF1
ORC2 MCM7
ORC2 ORC4
ORC2 ORC1
ORC2 MCM6
ORC2 ORC5
ORC2 CDC45
